id	name	neighborhood	cuisine_type	pricing_tier	menu_tier	menu_price_range	menu_del_dia_confirmed	website	phone	address_full	postal_code	google_maps_rating	google_maps_review_count	notes	status	last_verified
21	Goliard	Gràcia	Mediterranean	mid-range	none	14-16€	FALSE			C/ del Progrés, 6	08012	4.5	400	PERMANENTLY CLOSED (June 2024). Was at C/ del Progrés, 6. Known for consistently good fish option.	permanently_closed	2026-03-23
22	Ristorante Gravin	El Born	Italian	mid-range	confirmed	12.90€	TRUE	https://gravinristorante.com		C/ de l'Argenteria, 64	08003	4.5	800	Authentic Italian from Puglia. Handmade pasta. Daily changing menu.	active	2026-03-22
23	El Casal Cafe Bar	El Born	Mediterranean	budget	confirmed	9.50-12€	TRUE	https://elcasalcafe.es		C/ de Sant Pere Més Alt, 1	08003	4.3	500	Norman-Catalan fusion. Fresh oysters from Normandy.	active	2026-03-22
24	Quillo Bar Tapas	El Born	Spanish	mid-range	confirmed	15.50€	TRUE	https://quillo-bar.com	+34 931 38 31 30	C/ de Banys Vells, 12	08003	4.4	600	Two tapas, main, dessert, drink, and coffee. Fried whitebait, cod buñuelos, patatas bravas.	active	2026-03-23
25	En Aparte	El Born	French	mid-range	confirmed	15-20€	TRUE			C/ del Rec, 4	08003	4.3	700	French restaurant. Set menus include wine. Chevre salad, quiche, chocolate fondant. Limited online presence.	active	2026-03-23
26	El Racó de Montjuïc	Poble Sec	Mediterranean	budget	confirmed	12.50€	TRUE		+34 930 004 851	Av. de Miramar, 1	08038	4.2	500	Homemade. Fideuá marinera, grilled hake, botifarra.	active	2026-03-23
27	Bagaría Barcelona	Poble Sec	Mediterranean	budget	confirmed	12€	TRUE			C/ Nou de la Rambla, 152	08004	4.4	700	Starter, main, dessert, bread, and drink for 12€.	active	2026-03-23
28	Antic Café Espanyol	Poble Sec	Catalan	mid-range	confirmed	17.50-23.50€	TRUE		+34 931 060 534	Av. del Paral·lel, 64	08001	4.3	400	Traditional market cuisine. Weekday 17.50€, weekend 23.50€.	active	2026-03-23
29	Brisas do Sil	Poble Sec	Spanish	mid-range	confirmed	13.50€	TRUE		+34 933 250 446	C/ de Jaume Fabra, 16	08004	4.2	300	Traditional Galician. Pulpo a la gallega, lacón, empanada gallega, croquettes. Rotating menú del día.	active	2026-03-23
30	Rosa Negra	El Raval	Mexican	mid-range	confirmed	14.50€	TRUE	https://rosanegra.cat/	+34 933010226	C/ dels Tallers, 71	08001	4.4	900	Mexican. Tacos, quesadillas, enchiladas. Vegan/vegetarian/GF options.	active	2026-03-22
31	MamaCafe	El Raval	Mediterranean	mid-range	confirmed	13-15€	TRUE		+34 933 012 940	C/ del Doctor Dou, 10	08001	4.3	500	Near MACBA. Vegetarian/GF options. Local art on walls.	active	2026-03-23
32	Bar Muy Buenas	El Raval	Spanish	mid-range	confirmed	13.50€	TRUE	http://muybuenas.cat/	+34 938072857	C/ del Carme, 63	08001	4.4	600	Generous homemade menu.	active	2026-03-22
33	Bar Bodega Agustín	El Raval	Spanish	mid-range	confirmed	13€	TRUE			C/ de Ferlandina, 32	08001	4.2	300	Good, affordable, quick.	active	2026-03-23
34	Casa Bella	El Raval	Spanish	mid-range	confirmed	13€	TRUE		+34 933 18 24 59	C/ de Montserrat, 15	08001	4.3	400	Home-style. Five starters, five mains to choose from.	active	2026-03-23
35	Norai Raval	El Raval	Mediterranean	mid-range	confirmed	11-14€	TRUE	https://norai.org	+34 646 852 697	Av. de les Drassanes, s/n	08001	4.3	350	Inside the Museu Marítim de Barcelona. Mediterranean and Spanish. Three-course daily menu.	active	2026-03-23
36	Els Ocellets	Sant Antoni	Catalan	mid-range	confirmed	17.90€	TRUE	https://elsocellets.com		C/ de Villadomat, 25	08015	4.4	500	Near Mercat de Sant Antoni. Soupy rice with lobster.	active	2026-03-22
37	Bar Chiqui	Sant Antoni	Japanese	mid-range	confirmed	14.50€	TRUE	https://barchiqui.com	+34 933 25 08 33	C/ de Vilamarí, 29	08015	4.3	300	Japanese sushi in a traditional 1959 Spanish bar. Partnership with sushi master. Fresh fish from Mercabarna.	active	2026-03-23
38	Ca La Montse	Barceloneta	Seafood	mid-range	confirmed	15.50-21.50€	TRUE	https://restaurantcalamontse.com		C/ de l'Almirall Aixada, 18	08003	4.3	600	Full menu 21.50€, half 15.50€. Market cuisine, seafood.	active	2026-03-22
39	El Nou Ramonet	Barceloneta	Seafood	mid-range	confirmed	15-18€	TRUE	https://grupramonet.com	+34 932683313	C/ de la Maquinista, 17	08003	4.2	400	Heart of Barceloneta. Fresh market ingredients.	active	2026-03-22
40	Los Pescadores	Barceloneta	Seafood	mid-range	confirmed	15€	TRUE		+34 933 19 30 58	C/ de la Maquinista, 48	08003	4.1	500	Local favorite. Numerous choices.	active	2026-03-23
41	Cometa Pla	Barri Gòtic	Vegetarian/Vegan	mid-range	confirmed	13.50€	TRUE		+34 646197845	C/ de Comtal, 2	08002	4.3	400	Flexitarian. Organic ingredients, vegetarian options.	active	2026-03-22
42	BOSCO Restaurant	Barri Gòtic	Mediterranean	mid-range	confirmed	14-17€	TRUE	https://restaurantbosco.com/	+34 934121370	C/ de Capellans, 9	08002	4.4	500	Near Cathedral. Daily changing menu. Fresh, seasonal, sustainable.	active	2026-03-22
43	Granja Mabel	Barri Gòtic	Spanish	mid-range	confirmed	13-16€	TRUE		+34 934852028	C/ de Ferran, 11	08002	4.2	350	Quality-price relation. Homely environment.	active	2026-03-22
44	Grangels Mix	Barri Gòtic	Catalan	mid-range	confirmed	16.50€	TRUE			C/ de l'Arc de Sant Ramon, 12	08002	4.1	300	Traditional local spot.	active	2026-03-22
45	Amaica	Sarrià-Sant Gervasi	Mediterranean	mid-range	none		FALSE	https://amaica.es	+34 934 183 156	C/ de Bertrand i Serra, 11	08022	4.3	400	Now dinner-only. Monthly changing tasting menu. Contemporary seasonal cuisine.	active	2026-03-23
46	Bar Monterolas	Sarrià-Sant Gervasi	Spanish	mid-range	confirmed	<15€	TRUE			C/ de Monterolas, 7	08017	4.2	300	Platos del día, tapas, sandwiches.	active	2026-03-22
47	Koryo	Sarrià-Sant Gervasi	Asian	mid-range	confirmed	14.50€	TRUE		+34 932 123 139	C/ de Reus, 4	08022	4.5	400	Korean cuisine. Various set menus.	active	2026-03-23
48	Vermuteria La Raspa de Moragas	Sarrià-Sant Gervasi	Catalan	mid-range	confirmed	<20€	TRUE			C/ de Moragas, 6	08023	4.4	500	Traditional Catalan homemade food. One of the best menus under 20€.	active	2026-03-22
49	L'Antull	Les Corts	Spanish	budget	confirmed	~10€	TRUE			C/ d'Europa, 33	08028	4.3	250	Typical bar/restaurant. Great budget option.	active	2026-03-22
50	L'Arrosseria de Sants	Sants	Mediterranean	mid-range	confirmed	16.50€	TRUE	https://arrosseriadesants.com	+34 933322804	C/ Sants, 360	08028	4.4	1200	Working day lunch set menu. First course, second course, dessert, and drink, including fideuà and rice dishes.	active	2026-03-22
51	Més de Vi	Poblenou	Mediterranean	mid-range	confirmed	17.80€	TRUE	https://restaurantemesdevi.es		Rambla del Poblenou, 38	08005	4.4	500	Seasonal daily menu. Homemade, market-fresh cuisine. Changes weekly.	active	2026-03-22
52	L'Artesana Poblenou	Poblenou	Mediterranean	mid-range	confirmed	15.80€	TRUE		+34 930022039	C/ de Marià Aguiló, 72	08005	4.3	300	Highly regarded in the neighborhood for its midday menu.	active	2026-03-22
53	Casa Cabo	Poblenou	Mediterranean	mid-range	confirmed	14-17€	TRUE	https://grupocabo.es/	+34 608332208	C/ de Pere IV, 91	08018	4.3	400	Celebrated for midday menu, especially rice dishes.	active	2026-03-22
54	Morgentau	Poblenou	Vegetarian/Vegan	mid-range	confirmed	13-16€	TRUE	https://morgentau.es	+34 931 98 37 65	C/ de la Llacuna, 114	08018	4.5	300	Vegan brunch. Organic, fair-trade, local products. Open for breakfast/lunch, closed for dinner (except some Saturdays).	active	2026-03-23
55	Warike	Poblenou	Peruvian	mid-range	confirmed	14-16€	TRUE	https://warikeproject.com/	+34 685621172	C/ del Dr. Trueta, 144	08005	4.4	400	Peruvian-Chinese fusion. Daily changing lunch menu. Peruvian restaurant in Poblenou. Original Warike location.	active	2026-03-22
56	Sopa	Poblenou	Vegetarian/Vegan	mid-range	confirmed	12-15€	TRUE	https://sopa.vg	+34 933 09 56 76	C/ de Roc Boronat, 114	08018	4.3	350	Vegetarian/vegan. Daily changing menu with soups, salads, mains. Local, seasonal, organic products.	active	2026-03-23
57	Sant Martí Restaurant	Sant Martí	Mediterranean	mid-range	confirmed	19€	TRUE	https://santmarti-restaurant.es		Av. Meridiana, 200	08027	4.2	600	Three starters, three mains, dessert. Working days only.	active	2026-03-22
58	Ryu Ramen	Sant Martí	Japanese	budget	confirmed	11.90€	TRUE			C/ de Bac de Roda, 53	08019	4.4	400	Daily menu including ramen for 11.90€.	active	2026-03-22
59	Restaurante Lepanto	Sagrada Família	Spanish	mid-range	confirmed	13-16€	TRUE			C/ de Lepant, 300	08025	4.2	350	Less than 300m from Sagrada Família. Homemade. Highly-rated croquettes.	active	2026-03-22
60	Arc Iris	Sagrada Família	Vegetarian/Vegan	budget	confirmed	9.50€	TRUE			C/ de Sardenya, 120	08013	4.3	300	Vegetarian. Three-course homemade menu for 9.50€.	active	2026-03-22
61	La Yaya Amelia	Sagrada Família	Spanish	budget	confirmed	10-13€	TRUE	https://layayamelia.cat/	+34 660287529	C/ de Sardenya, 364	08025	4.4	450	Neighborhood classic. Traditional dishes at very reasonable prices.	active	2026-03-22
62	Lanto Restaurant	Clot	Fusion	mid-range	confirmed	19.50€	TRUE	https://lanto.restaurant/	+34 658941131	C/ de Lanzarote, 9	08018	4.5	500	Gourmet. Five courses (two appetizers, starter, main, dessert) + drink. Everything from scratch.	active	2026-03-22
63	Ca la Margui	Clot	Spanish	budget	confirmed	10€	TRUE			C/ del Clot, 105	08018	4.3	300	Small, well-known. Tortilla, fideuá, callos, sirloin. First, second, bread, drink, dessert.	active	2026-03-22
64	Nana Restaurant	Clot	Mediterranean	budget	confirmed	11.50€	TRUE			C/ del Clot, 147	08018	4.4	400	Elaborate dishes, good presentation. First, second, bread, drink, dessert, coffee.	active	2026-03-22
65	El Clot Restaurant	Clot	Mediterranean	mid-range	confirmed	13-16€	TRUE	https://elclotrestaurante.com		C/ de València, 565	08026	4.3	500	Tradition and fresh local ingredients. Spacious dining and terrace.	active	2026-03-22
66	La Forquilla	Nou Barris	Fusion	mid-range	confirmed	17€	TRUE			C/ de Viladrosa, 57	08042	4.3	300	Family-run since 2000. Catalan-Mexican-Asian fusion. Oxtail, birria tacos, fried anchovies with kimchi.	active	2026-03-22
67	5 Hermanos	Nou Barris	Spanish	mid-range	confirmed	15€	TRUE			C/ de Canyelles, 9	08042	4.2	250	Market-fresh produce, simple preparations. Snails, octopus a feira, seasonal cannelloni.	active	2026-03-22
68	Pizzeria Nanà	Sant Andreu	Italian	budget	confirmed	10.50€	TRUE			C/ Gran de Sant Andreu, 95	08030	4.4	350	Pizza + drink for 10.50€. Neapolitan pizza.	active	2026-03-22
69	La Marcelina	Sant Andreu	Mediterranean	mid-range	confirmed	16.50€	TRUE			C/ Gran de Sant Andreu, 52	08030	4.3	400	Homemade Mediterranean. First, second, dessert, drink. Beef stew, spaghetti with cheese and pear.	active	2026-03-22
70	Izakaya Barcelona	Sant Andreu	Japanese	mid-range	confirmed	12.50€	TRUE			C/ de Joan Torras, 38	08030	4.4	300	Japanese gastro & sushi. Starter, main, dessert for 12.50€.	active	2026-03-22
71	Can Cortada	Horta-Guinardó	Catalan	mid-range	confirmed	15-18€	TRUE	https://cancortada.com/	+34 934 27 23 15	Av. de l'Estatut de Catalunya, s/n	08035	4.3	3000	Traditional Catalan. Lamb baked 12h, arroz a la cazuela. Set menus available.	active	2026-03-22
72	Restaurant Mati's	Horta-Guinardó	Spanish	mid-range	confirmed	12-15€	TRUE			C/ del Carmel, 15	08024	4.3	350	Long-standing neighborhood restaurant. Large portions, traditional homemade dishes.	active	2026-03-22
73	Disfrutar	Eixample	Mediterranean	premium	none		FALSE	https://disfrutarbarcelona.com/	+34 933486896	C/ de Villarroel, 163	08036	4.8	5000	#1 World's 50 Best 2024. Three Michelin stars. Tasting menus only.	active	2026-03-22
74	Moments	Eixample	Catalan	premium	none		FALSE	https://www.mandarinoriental.com/barcelona/passeig-de-gracia/fine-dining/restaurants/catalan-cuisine/moments	+34 931511000	C/ de Provença, 61	08007	4.5	2000	Two Michelin stars. Inside Mandarin Oriental hotel.	active	2026-03-22
75	Angle	Eixample	Mediterranean	premium	confirmed	60-80€	TRUE	https://anglebarcelona.com/	+34 932 16 77 77	C/ d'Aragó, 214	08011	4.7	1200	Michelin-starred. Jordi Cruz. Tasting menu lunch available.	active	2026-03-22
76	Aleia	Eixample	Mediterranean	premium	none		FALSE	https://aleiarestaurant.com/	+34 603590903	C/ de Provença, 134	08009	4.6	1574	Fine dining inside Casa Fuster. Tasting menus.	active	2026-03-22
77	Amar Barcelona	Eixample	Catalan	premium	likely		FALSE		+34 931 612 424	C/ de Provença, 157	08010	4.3	1358	Contemporary Catalan and French classics.	active	2026-03-22
78	Cervecería Catalana	Eixample	Spanish	mid-range	likely		FALSE	https://cerveceriacatalana.com/	+34 932160368	C/ de la Diputació, 42	08007	3.9	324	Famous tapas bar. No fixed menu del día. À la carte tapas.	active	2026-03-22
79	Vinitus	Eixample	Spanish	mid-range	likely		FALSE	https://vinitus.com/	+34 933636217	C/ de Provença, 74	08011	4.3	779	Popular tapas and wines.	active	2026-03-22
80	Mont Bar	Eixample	Mediterranean	premium	confirmed	55-70€	TRUE	http://www.montbar.com/	+34 933 23 95 90	C/ de la Diputació, 220	08011	4.5	1585	Michelin-starred. Informal fine dining. Tasting menu format.	active	2026-03-22
81	La Taverna del Clínic	Eixample	Spanish	premium	none		FALSE			C/ de Balmes, 4	08036	4.8	547	Fancy tapas. Business clientele.	active	2026-03-22
82	Tapas 24	Eixample	Spanish	mid-range	likely		FALSE	https://tapas24.es/	+34 934880977	C/ de Còrsega, 88	08011	4.4	285	Famous for truffled sobrassada bikini.	active	2026-03-22
83	Bar Tossa	Eixample	Spanish	budget	likely		FALSE			C/ d'Enric Granados, 52	08007	4.1	1446	50+ years old. Famous croquettes. Classic tapas.	active	2026-03-22
84	Bar Gelida	Eixample	Spanish	budget	likely		FALSE			C/ de Còrsega, 157	08008	4.2	903	Mom-and-pop bar. Homemade cooking. Local favorite.	active	2026-03-22
85	Bar Anita	Eixample	Spanish	mid-range	likely		FALSE			C/ del Bruc, 114	08007	4.3	473	Pantea Group. Seasonal tapas dishes.	active	2026-03-22
86	El Nou de Granados	Eixample	Mediterranean	mid-range	likely		FALSE		+34 934 539 756	C/ de la Diputació, 105	08009	4.3	1200	Tapas + paella options. Vegetarian selection.	active	2026-03-22
87	Senyor Vermut	Eixample	Spanish	budget	likely		FALSE			C/ de Muntaner, 107	08008	4.4	229	Small plates, wild mushroom croquettes. Budget-friendly.	active	2026-03-22
88	Atrapatapa	Eixample	Spanish	mid-range	likely		FALSE			C/ de Calabria, 79	08008	4.2	400	Tapas restaurant.	active	2026-03-22
89	El Nacional	Eixample	Mediterranean	premium	none		FALSE	https://elnacionalbcn.com/	+34 935185053	C/ d'Aragó, 135	08008	4.4	1107	Four restaurants under one roof: La Braseria, La Llotja, La Taperia, The Stop.	active	2026-03-22
90	Racó d'en Cesc	Eixample	Catalan	premium	likely		FALSE			C/ del Consell de Cent, 16	08008	4.4	633	Traditional Catalan. Extensive wine list.	active	2026-03-22
91	Casa Amalia	Eixample	Catalan	mid-range	confirmed	14-16€	TRUE	https://casaamalia.com/	+34 934 58 94 58	Passatge del Mercat, 14	08009	4.5	6067	Open since 1950. Slow food. Traditional and modern Catalan.	active	2026-03-22
92	Vic Braseria	Eixample	Catalan	mid-range	likely		FALSE			C/ de Calabria, 140	08007	4.0	1101	Catalan meat and vegetable grill.	active	2026-03-22
93	Portolés	Eixample	Spanish	mid-range	likely		FALSE			C/ de Villadomat, 150	08007	4.2	508	Authentic gastronomy.	active	2026-03-22
94	Casa Masana	Eixample	Catalan	mid-range	likely		FALSE		+34 934 252 970	C/ de Girona, 56	08009	4.4	1311	Tradition and flavor.	active	2026-03-22
95	El Cierzo	Eixample	Spanish	mid-range	likely		FALSE			C/ de Villadomat, 76	08009	4.1	1485	Aragonese cuisine.	active	2026-03-22
96	El Puestu	Eixample	Spanish	mid-range	likely		FALSE			C/ de Roger de Llúria, 92	08010	4.3	459	Traditional flavors. Local ingredients.	active	2026-03-22
97	Flamant	Eixample	Catalan	mid-range	likely		FALSE	https://grupandilana.com/es/restaurantes/flamant	+34 933 231 635	C/ de Rosselló, 170	08010	4.5	1498	Mediterranean and Catalan cuisine.	active	2026-03-22
98	Contempo	Eixample	Catalan	mid-range	likely		FALSE			C/ d'Aribau, 31	08008	4.4	600	Catalan and Mediterranean cuisine.	active	2026-03-22
99	Zafra	Eixample	Mediterranean	mid-range	likely		FALSE			C/ de Calabria, 104	08036	4.3	418	Rice dishes, Mediterranean, tapas.	active	2026-03-22
100	Xampú Xampany	Eixample	Catalan	mid-range	likely		FALSE			C/ de Villadomat, 163	08036	4.1	1076	Mediterranean and Catalan cuisine.	active	2026-03-22
101	Salmigondi	Eixample	Mediterranean	mid-range	likely		FALSE	https://salmigondi.com/	+34 934886722	C/ de Roger de Llúria, 130	08011	4.5	1868	Mediterranean cuisine.	active	2026-03-22
102	Mixtel·la	Eixample	Fusion	mid-range	likely		FALSE			C/ de Còrsega, 113	08011	4.2	651	Mediterranean, fusion, tapas.	active	2026-03-22
103	Danzarama	Eixample	Mediterranean	mid-range	likely		FALSE			C/ de Muntaner, 137	08009	4.0	200	Creative Mediterranean tapas.	active	2026-03-22
104	An Embat	Eixample	Mediterranean	mid-range	confirmed	15-18€	TRUE	https://embat.cat/	+34 934580855	C/ de la Diputació, 354	08009	4.5	700	Bistro. Affordable market cuisine. Duck cannelloni.	active	2026-03-22
105	Lateral Consell de Cent	Eixample	Mediterranean	mid-range	likely		FALSE			C/ de Girona, 169	08007	4.0	784	French bistro style. Tapas, raciones, cocktails.	active	2026-03-22
106	Malpaso	Eixample	Fusion	mid-range	likely		FALSE			C/ de Girona, 177	08008	4.2	1183	Literary-themed. Mexican-influenced tapas.	active	2026-03-22
107	Boraz	Eixample	Fusion	mid-range	likely		FALSE			C/ de Provença, 137	08008	4.1	650	Fusion of flavors.	active	2026-03-22
108	Au Port de la Lune	Eixample	French	mid-range	likely		FALSE			C/ de Balmes, 122	08011	3.9	390	French bistro. Oysters, cassoulet, rillettes.	active	2026-03-22
109	Bistrot BCN	Eixample	French	mid-range	confirmed	14-18€	TRUE	https://bistrotbcn.es/	+34 934 24 63 48	C/ de Casanova, 15	08011	4.5	100	French cuisine. Market-fresh Mediterranean.	active	2026-03-22
110	Ramen-Ya Hiro	Eixample	Japanese	budget	likely		FALSE	https://ramenyahiro.com/	+34 930 028 441	C/ de Provença, 117	08008	4.3	1381	Japanese ramen restaurant.	active	2026-03-22
111	Hot Pot de Sichuan	Eixample	Asian	mid-range	likely		FALSE			C/ de la Diputació, 104	08011	3.6	514	Sichuan hot pot experience.	active	2026-03-22
112	Little Corea	Eixample	Asian	budget	likely		FALSE			C/ d'Aragó, 42	08008	4.2	1438	Korean cuisine. Affordable.	active	2026-03-22
113	Chen Ji	Eixample	Asian	budget	likely		FALSE			C/ de Calabria, 184	08010	4.1	675	Chinese. Affordable.	active	2026-03-22
114	Dionisos Urgell	Eixample	Greek	mid-range	likely		FALSE			C/ del Comte d'Urgell, 153	08009	4.2	784	Greek and Mediterranean.	active	2026-03-22
115	Albé Barcelona	Eixample	Lebanese	mid-range	likely		FALSE			C/ de Provença, 129	08011	3.9	746	Lebanese dishes in tapas style. Vegetarian options.	active	2026-03-22
116	La Taquería	Eixample	Mexican	budget	likely		FALSE			C/ de Girona, 179	08009	3.5	526	Affordable Mexican tacos.	active	2026-03-22
117	Merquén Café-Bar	Eixample	Other	mid-range	likely		FALSE			C/ del Comte d'Urgell, 175	08010	3.9	150	Chilean and Mediterranean.	active	2026-03-22
118	Amaltea	Eixample	Vegetarian/Vegan	mid-range	confirmed	12-15€	TRUE	https://amaltea-restaurant.com/		C/ de la Diputació, 164	08011	4.4	500	Vegetarian restaurant. Known for menu del día.	active	2026-03-22
119	La Tartería Raw Food	Eixample	Vegetarian/Vegan	mid-range	likely		FALSE			C/ de Calabria, 128	08011	3.7	481	Raw food restaurant.	active	2026-03-22
120	Green&Burger	Eixample	Vegetarian/Vegan	mid-range	confirmed	12-15€	TRUE			C/ del Consell de Cent, 250	08011	4.3	400	Vegetarian/vegan menu del día. Weekly changes.	active	2026-03-22
121	Veggie Garden	Eixample	Vegetarian/Vegan	budget	confirmed	10-12€	TRUE			C/ d'Aribau, 77	08036	4.3	350	Affordable vegetarian menus.	active	2026-03-22
122	Vegan Mount	Eixample	Vegetarian/Vegan	budget	confirmed	9-11€	TRUE			C/ de Córsega, 232	08036	4.5	300	Budget vegan menus. Similar to Veggie Garden.	active	2026-03-22
123	Brera	Eixample	Italian	budget	confirmed	12€	TRUE			C/ de Balmes, 130	08008	4.3	250	No-frills Italian. Homemade gnocchi. 12€ lunch menu.	active	2026-03-22
124	Nostrum	Eixample	Spanish	budget	likely		FALSE			C/ de Pau Claris, 36	08011	4.0	550	CHAIN - Takeaway chain. Dishes from 1€. Popular with workers.	active	2026-03-22
125	Bacoa Universitat	Eixample	Gastropub	budget	none		FALSE			C/ d'Aribau, 159	08011	3.7	54	Organic burgers. Vegetarian options.	active	2026-03-22
126	Brunch and Cake	Eixample	Café	mid-range	none		FALSE			C/ de Calabria, 125	08011	4.1	371	Two locations. Brunch + lunch. Healthy/vegan options.	active	2026-03-22
127	Billy Brunch & Garden	Eixample	Café	mid-range	none		FALSE			C/ de Balmes, 133	08008	3.8	426	Brunch dishes. Backyard garden.	active	2026-03-22
128	EatMyTrip	Eixample	Café	mid-range	none		FALSE			C/ de Girona, 135	08036	4.2	1001	Instagrammable brunch. Specialty coffee. 4.6★ (3.4K reviews).	active	2026-03-22
129	Oma Bistro	Eixample	Mediterranean	mid-range	likely		FALSE			C/ de Villadomat, 184	08009	4.4	631	Brunch menu. Industrial style.	active	2026-03-22
130	Zenith	Eixample	Café	mid-range	none		FALSE			C/ d'Aragó, 183	08008	3.6	658	Elevated brunch.	active	2026-03-22
131	Faborit	Eixample	Café	budget	none		FALSE			C/ d'Aribau, 167	08011	4.0	1436	Café at Casa Amatller. Chocolate, soups, sandwiches.	active	2026-03-22
132	Miss Simona	Eixample	Mediterranean	mid-range	likely		FALSE			C/ d'Aribau, 15	08009	4.0	1252	Brunch and tapas. Outside seating.	active	2026-03-22
133	Belliny by the Benedict	Eixample	Café	mid-range	none		FALSE			C/ de Balmes, 56	08009	4.3	1080	Eggs Benedict specialist.	active	2026-03-22
134	The Coffee House Barcelona	Eixample	Café	budget	none		FALSE			C/ del Comte d'Urgell, 88	08036	4.0	1477	Coffee and brunch deals.	active	2026-03-22
